wavelength_m,distance_m,tx_diameter_m,rx_diameter_m,first_null_diameter_m,capture_fraction,tx_conversion_assumed,rx_conversion_assumed,ideal_end_to_end_efficiency,input_w_for_100w_load,quarter_rx_radius_angle_rad
0.0085654988,100000,10,10,208.99817071999996,0.00837238470436325,0.6,0.7,0.003516401575832565,28438.162662443745,1.25e-05
0.0085654988,100000,10,100,208.99817071999996,0.558862112371221,0.6,0.7,0.23472208719591275,426.0357480399114,0.000125
0.0085654988,100000,100,1.5,20.899817071999998,0.018739211533448423,0.6,0.7,0.007870468844048337,12705.723379569718,1.875e-06
0.0085654988,100000,100,10,20.899817071999998,0.558862112371221,0.6,0.7,0.23472208719591275,426.0357480399114,1.25e-05
0.0085654988,100000,100,100,20.899817071999998,0.9657549890646226,0.6,0.7,0.40561709540714147,246.53793228222835,0.000125
0.0085654988,1000000,1,1.5,20899.817071999998,1.891720491311814e-08,0.6,0.7,7.945226063509617e-09,12586174288.8946,1.875e-07
0.0085654988,1000000,1,10,20899.817071999998,8.407643006647357e-07,0.6,0.7,3.5312100627918897e-07,283189043.47745526,1.25e-06
0.0085654988,1000000,1,100,20899.817071999998,8.40729310652701e-05,0.6,0.7,3.531063104741344e-05,2832008.2942081876,1.25e-05
0.0085654988,1000000,10,1.5,2089.9817071999996,1.8917186825212281e-06,0.6,0.7,7.945218466589156e-07,125861863.2332328,1.875e-07
0.0085654988,1000000,10,10,2089.9817071999996,8.40729310652701e-05,0.6,0.7,3.531063104741344e-05,2832008.2942081876,1.25e-06
0.0085654988,1000000,10,100,2089.9817071999996,0.00837238470436325,0.6,0.7,0.003516401575832565,28438.162662443745,1.25e-05
0.0085654988,1000000,100,1.5,208.99817072,0.00018915415507805245,0.6,0.7,7.944474513278202e-05,1258736.4945643973,1.875e-07
0.0085654988,1000000,100,10,208.99817072,0.008372384704363248,0.6,0.7,0.003516401575832564,28438.162662443752,1.25e-06
0.0085654988,1000000,100,100,208.99817072,0.5588621123712212,0.6,0.7,0.2347220871959129,426.03574803991114,1.25e-05
