profile,h_km,sigma_iono,n,f_hz,Q,Re_Zg,Re_Zi
pessimistic_warm,70.0,1e-06,3,95.13309815282291,1.0400150960743029,5.847693089752086,19.43071809615248
optimistic_cold,150.0,3e-05,1,38.83792468742084,0.5419299163054759,40.178073292182056,2.26080386418569
pessimistic_warm,70.0,1e-06,2,67.26925881914649,0.8752345495233169,4.913101114143291,16.326676556093474
nominal,40.0,0.0003,3,95.13309815282291,0.3048400641076995,48.16208484078906,1.1188938634613523
nominal,40.0,0.001,1,38.83792468742084,0.2660218627588491,22.663074572615553,0.391569038935955
nominal,60.0,1e-07,1,38.83792468742084,0.147817365678019,22.663074572615553,39.57290707935288
nominal,80.0,0.0001,3,95.13309815282291,0.5997120442158794,48.16208484078906,1.9380152068467316
optimistic_cold,150.0,3e-05,2,67.26925881914649,0.4811236583880425,79.82083556783198,2.9754636360611677
nominal,80.0,0.0003,1,38.83792468742084,0.5246851220223961,22.663074572615553,0.7149057869058422
nominal,150.0,3e-05,1,38.83792468742084,0.9227655801550463,22.663074572615553,2.26080386418569
nominal,40.0,0.001,2,67.26925881914649,0.29144838392150213,35.932751085788176,0.5153342439715299
nominal,150.0,1e-05,3,95.13309815282291,1.037638574249472,48.16208484078906,6.130001104309631
nominal,50.0,3e-05,3,95.13309815282291,0.3632165597871373,48.16208484078906,3.538533917817282
optimistic_cold,40.0,1e-07,1,38.83792468742084,0.07690236797358999,40.178073292182056,39.57290707935288
nominal,40.0,0.001,3,95.13309815282291,0.3080028697569345,48.16208484078906,0.6128396245231282
optimistic_cold,40.0,1e-07,2,67.26925881914649,0.08029851324844145,79.82083556783198,52.469727938929566
nominal,50.0,1e-07,1,38.83792468742084,0.12318113806501584,22.663074572615553,39.57290707935288
pessimistic_warm,70.0,1e-06,1,38.83792468742084,0.6664863638660604,3.707741018637186,12.395842264925669
apollo_classic,150.0,3e-05,1,38.83792468742084,0.6991646866747212,30.63401703249489,2.26080386418569
nominal,100.0,3e-07,3,95.13309815282291,0.44789564634913714,48.16208484078906,35.690129564212654
optimistic_cold,150.0,3e-05,3,95.13309815282291,0.4176957899649799,131.33369607958164,3.538533917817282
apollo_classic,150.0,1e-05,3,95.13309815282291,0.7560262760275885,68.38534900905897,6.130001104309631
apollo_classic,100.0,3e-06,1,38.83792468742084,0.40577863237468775,30.63401703249489,7.151605160661953
nominal,100.0,3e-07,2,67.26925881914649,0.40317442687448,35.932751085788176,29.936602587892647
nominal,50.0,1e-07,2,67.26925881914649,0.15020415269436777,35.932751085788176,52.469727938929566
apollo_classic,100.0,1e-06,3,95.13309815282291,0.42767847623758876,68.38534900905897,19.43071809615248
pessimistic_warm,70.0,3e-07,3,95.13309815282291,0.6329154384697852,5.847693089752086,35.690129564212654
optimistic_cold,40.0,1e-07,3,95.13309815282291,0.07736854775268935,131.33369607958164,62.83844678543254
nominal,150.0,1e-05,2,67.26925881914649,0.9695332329082064,35.932751085788176,5.154296806813111
nominal,100.0,1e-06,2,67.26925881914649,0.5081731682552061,35.932751085788176,16.326676556093474
nominal,100.0,1e-06,1,38.83792468742084,0.4373380435001811,22.663074572615553,12.395842264925669
optimistic_cold,150.0,0.0001,1,38.83792468742084,0.5553098058525352,40.178073292182056,1.2382620634305879
