r_m,depth_km,sigma_S_m,eps_r
6.370986267339046113e+06,1.373266095388680705e-02,9.968429320129949464e-03,1.000000000000000000e+01
6.370986968344100751e+06,1.303165589924901689e-02,9.970038477885826908e-03,1.000000000000000000e+01
6.370987633565261029e+06,1.236643473897129294e-02,9.971565733885887767e-03,1.000000000000000000e+01
6.370988264829170890e+06,1.173517082910984811e-02,9.973015245066871315e-03,1.000000000000000000e+01
6.370988863869233057e+06,1.113613076694309686e-02,9.974390958543700655e-03,1.000000000000000000e+01
6.370989432330361567e+06,1.056766963843256205e-02,9.975696622068833119e-03,1.000000000000000000e+01
6.370989971773508005e+06,1.002822649199515588e-02,9.976935794018391979e-03,1.000000000000000000e+01
6.370990483679939061e+06,9.516320060938596170e-03,9.978111852849009741e-03,1.000000000000000000e+01
6.370990969455309212e+06,9.030544690787793011e-03,9.979228006121857938e-03,1.000000000000000000e+01
6.370991430433520116e+06,8.569566479884088012e-03,9.980287299070611171e-03,1.000000000000000000e+01
6.370991867880379781e+06,8.132119620218872941e-03,9.981292622740060155e-03,1.000000000000000000e+01
6.370992282997083850e+06,7.717002916149794632e-03,9.982246721743529699e-03,1.000000000000000000e+01
6.370992676923509687e+06,7.323076490312815066e-03,9.983152201614971591e-03,1.000000000000000000e+01
6.370993050741348416e+06,6.949258651584386964e-03,9.984011535811038868e-03,1.000000000000000000e+01
6.370993405477073044e+06,6.594522926956415503e-03,9.984827072356506142e-03,1.000000000000000000e+01
6.370993742104761302e+06,6.257895238697529054e-03,9.985601040173944232e-03,1.000000000000000000e+01
6.370994061548764817e+06,5.938451235182583450e-03,9.986335555076495882e-03,1.000000000000000000e+01
6.370994364686251618e+06,5.635313748382031994e-03,9.987032625484136561e-03,1.000000000000000000e+01
6.370994652349613607e+06,5.347650386393070117e-03,9.987694157842787537e-03,1.000000000000000000e+01
6.370994925328751095e+06,5.074671248905360949e-03,9.988321961772631680e-03,1.000000000000000000e+01
6.370995184373244643e+06,4.815626755356788337e-03,9.988917754968150431e-03,1.000000000000000000e+01
6.370995430194407701e+06,4.569805592298507683e-03,9.989483167833636268e-03,1.000000000000000000e+01
6.370995663467247970e+06,4.336532752029598030e-03,9.990019747917589996e-03,1.000000000000000000e+01
6.370995884832312353e+06,4.115167687647044645e-03,9.990528964087190544e-03,1.000000000000000000e+01
6.370996094897452742e+06,3.905102547258138684e-03,9.991012210527807497e-03,1.000000000000000000e+01
6.370996294239490293e+06,3.705760509707033742e-03,9.991470810515379330e-03,1.000000000000000000e+01
6.370996483405804262e+06,3.516594195738434632e-03,9.991906020020976248e-03,1.000000000000000000e+01
6.370996662915828638e+06,3.337084171362221432e-03,9.992319031108509372e-03,1.000000000000000000e+01
6.370996833262484521e+06,3.166737515479326089e-03,9.992710975189162195e-03,1.000000000000000000e+01
6.370996994913530536e+06,3.005086469464003825e-03,9.993082926091583981e-03,1.000000000000000000e+01
6.370997148312847130e+06,2.851687152869999530e-03,9.993435902983637681e-03,1.000000000000000000e+01
6.370997293881656602e+06,2.706118343397974964e-03,9.993770873149737319e-03,1.000000000000000000e+01
6.370997432019679807e+06,2.567980320192873606e-03,9.994088754625544274e-03,1.000000000000000000e+01
6.370997563106232323e+06,2.436893767677247597e-03,9.994390418696107864e-03,1.000000000000000000e+01
6.370997687501267530e+06,2.312498732469975803e-03,9.994676692274344701e-03,1.000000000000000000e+01
6.370997805546364747e+06,2.194453635253012375e-03,9.994948360155337871e-03,1.000000000000000000e+01
6.370997917565667070e+06,2.082434332929551744e-03,9.995206167156881621e-03,1.000000000000000000e+01
6.370998023866768926e+06,1.976133231073617848e-03,9.995450820146153589e-03,1.000000000000000000e+01
6.370998124741565436e+06,1.875258434563875209e-03,9.995682989980112301e-03,1.000000000000000000e+01
6.370998220467051491e+06,1.779532948508858597e-03,9.995903313331605880e-03,1.000000000000000000e+01
